customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
18,39.0,Female,West,Secondary,Unemployed,519079.17,213260.01,Car,440.0,8,115,44.38,2024-09-13 12:25:06.071373,0
19,,Male,East,Graduate,Unemployed,522093.0,371290.72,Education,445.0,8,87,43.99,2025-08-01 12:25:06.071378,0
20,41.0,Male,West,Post-Graduate,,810395.99,329804.43,Home,,8,140,43.36,2024-05-03 12:25:06.071382,0
21,61.0,Male,North,Post-Graduate,Self-Employed,447375.12,481917.66,Car,613.0,0,177,63.1,2017-09-16 12:25:06.071390,0
22,47.0,Male,North,Primary,Unemployed,649785.82,372089.81,Other,,8,159,49.19,2021-08-26 12:25:06.071392,0
23,55.0,Female,West,Primary,Salaried,267903.47,269597.34,Education,427.0,7,92,51.39,2024-07-14 12:25:06.071394,0
24,19.0,Female,West,Post-Graduate,Unemployed,963927.87,189042.48,Other,586.0,1,22,44.59,2025-01-23 12:25:06.071396,0
25,38.0,Male,South,Secondary,Salaried,841310.39,429892.9,Education,552.0,0,172,89.34,2019-03-22 12:25:06.071398,0
26,50.0,Other,West,Secondary,Salaried,5750107.2,1030454.34,Car,685.0,0,92,84.2,2016-10-21 12:25:06.071401,0
27,29.0,Female,South,Graduate,Self-Employed,867672.75,274242.37,Home,529.0,5,192,34.62,2018-05-26 12:25:06.071403,0
28,39.0,Male,North,Post-Graduate,Salaried,374069.95,274204.26,Other,570.0,8,77,18.93,2021-01-10 12:25:06.071406,0
29,61.0,Male,South,Post-Graduate,Salaried,733729.97,239758.84,Education,714.0,6,25,77.18,2023-05-31 12:25:06.071408,0
30,42.0,Male,West,Secondary,Unemployed,416398.25,276819.15,Business,497.0,4,108,89.77,2021-10-06 12:25:06.071411,0
31,66.0,Male,North,Secondary,Self-Employed,915607.5,588931.13,Car,622.0,1,179,33.41,2017-12-25 12:25:06.071413,0
32,44.0,Male,East,Post-Graduate,Salaried,379771.94,142826.69,Home,355.0,0,135,38.62,2019-01-13 12:25:06.071415,0
33,59.0,Male,South,Primary,Salaried,370169.02,177824.37,Car,502.0,1,109,85.33,2022-05-13 12:25:06.071417,0
34,45.0,Male,North,Post-Graduate,Self-Employed,278037.71,507648.66,Business,437.0,0,134,66.89,2019-03-17 12:25:06.071420,0
35,33.0,Male,South,Post-Graduate,Unemployed,,243779.34,Home,721.0,2,24,33.65,2023-05-04 12:25:06.071423,1
36,32.0,Female,North,Secondary,Self-Employed,462104.44,232406.81,Business,356.0,5,19,56.48,2020-08-06 12:25:06.071425,0
37,64.0,Male,North,Secondary,Self-Employed,347670.18,455229.58,Car,370.0,7,83,85.54,2023-05-28 12:25:06.071427,0
38,68.0,Female,South,Primary,Salaried,997961.82,86970.66,Education,671.0,2,115,74.95,2021-05-22 12:25:06.071429,0
39,61.0,Male,East,Primary,Salaried,705976.14,423218.16,Car,813.0,9,9,69.35,2017-10-01 12:25:06.071431,0
40,69.0,Other,North,Graduate,Unemployed,682446.91,306842.46,Car,383.0,8,112,68.96,2021-07-16 12:25:06.071433,0
41,20.0,Male,North,Post-Graduate,Salaried,917832.88,369720.32,Car,342.0,9,164,24.24,2022-03-12 12:25:06.071435,0
42,54.0,Male,North,Secondary,Salaried,651251.56,366904.64,Other,432.0,4,102,75.97,2019-04-27 12:25:06.071438,0
43,68.0,Other,East,Primary,Self-Employed,450263.96,205802.61,Business,694.0,6,168,32.09,2016-10-02 12:25:06.071440,0
44,24.0,Female,East,Graduate,Salaried,1299790.26,1830710.27,Business,364.0,7,152,84.43,2022-10-14 12:25:06.071442,0
45,38.0,Female,West,Graduate,Unemployed,438988.52,217479.34,Business,589.0,2,48,39.17,2024-09-20 12:25:06.071444,0
46,26.0,Male,South,Secondary,Self-Employed,901083.12,361327.35,Other,675.0,1,191,78.61,2017-10-20 12:25:06.071446,0
47,56.0,Male,East,Secondary,Unemployed,348932.78,485658.67,Education,766.0,1,69,31.3,2018-10-18 12:25:06.071448,1
48,,Female,South,Graduate,Self-Employed,670625.45,506835.25,Car,512.0,4,181,51.16,2024-12-09 12:25:06.071450,0
49,21.0,Female,West,Primary,Salaried,806785.03,259931.05,Education,447.0,0,182,18.55,2022-12-03 12:25:06.071452,0
50,42.0,Female,South,Graduate,Self-Employed,657068.97,369470.29,Other,770.0,1,170,62.81,2024-07-01 12:25:06.071454,0
51,31.0,Female,East,Post-Graduate,Self-Employed,679796.67,246076.68,Business,448.0,8,119,76.89,2022-09-16 12:25:06.071456,0
52,67.0,Male,South,Post-Graduate,Salaried,731120.78,675569.43,Car,387.0,6,45,67.48,2018-03-07 12:25:06.071458,0
53,26.0,Female,East,Secondary,Salaried,675856.17,417018.9,Home,623.0,5,125,51.86,2023-10-31 12:25:06.071460,0
54,43.0,Male,South,Primary,Unemployed,921814.83,312608.77,Home,695.0,8,14,13.61,2021-07-17 12:25:06.071462,0
55,19.0,Male,East,Primary,Unemployed,391941.65,346884.33,Education,,6,157,84.68,2018-03-26 12:25:06.071465,0
56,37.0,Male,East,Post-Graduate,Salaried,648084.98,361065.81,Business,381.0,4,134,66.44,2019-08-06 12:25:06.071466,1
57,45.0,Female,South,Graduate,Salaried,236351.91,365511.53,Home,585.0,8,135,69.67,2020-07-27 12:25:06.071469,0
58,64.0,Male,West,Secondary,Salaried,185250.76,264000.27,Education,681.0,5,37,73.57,2019-09-16 12:25:06.071470,0
59,24.0,Male,North,Graduate,Self-Employed,583665.79,240850.91,Other,569.0,5,53,69.82,2025-04-21 12:25:06.071473,0
60,61.0,Female,West,Graduate,Self-Employed,708675.91,277222.0,Education,591.0,3,18,45.29,2018-10-11 12:25:06.071475,0
61,25.0,Male,South,Graduate,Self-Employed,926133.56,129046.24,Education,752.0,0,38,68.69,2022-06-25 12:25:06.071477,0
62,64.0,Female,West,Primary,Salaried,1083958.35,407741.16,Education,323.0,4,187,60.0,2023-05-02 12:25:06.071479,0
63,52.0,Male,East,Post-Graduate,Unemployed,863972.13,179744.24,Car,610.0,8,129,78.32,2024-12-20 12:25:06.071481,0
64,31.0,Male,North,Primary,Salaried,745433.15,141007.49,Education,760.0,7,196,74.2,2025-04-12 12:25:06.071483,0
65,34.0,Female,South,Post-Graduate,Self-Employed,631992.97,297846.83,Education,507.0,7,44,13.31,2017-02-25 12:25:06.071485,0
66,53.0,Male,South,Secondary,Self-Employed,293754.39,280481.61,Car,737.0,4,47,40.31,2021-09-25 12:25:06.071487,0
67,67.0,Male,South,Secondary,Salaried,570792.68,337445.17,Car,837.0,8,35,12.78,2017-03-19 12:25:06.071490,0
68,57.0,Male,North,Graduate,Salaried,858075.35,214769.19,Other,635.0,2,60,18.17,2016-04-01 12:25:06.071491,0
69,21.0,Male,East,Post-Graduate,Self-Employed,779656.37,241118.62,Business,721.0,2,90,58.11,2022-11-03 12:25:06.071494,0
70,19.0,Other,South,Post-Graduate,Self-Employed,342733.17,403817.93,Home,620.0,0,52,79.91,2020-01-28 12:25:06.071496,1
71,23.0,Male,West,Post-Graduate,Self-Employed,722805.13,394682.58,Home,796.0,8,8,19.59,2025-12-28 12:25:06.071498,1
72,59.0,Female,South,Graduate,Salaried,705678.56,388428.76,Education,462.0,5,107,46.09,2016-12-04 12:25:06.071500,0
73,21.0,Male,South,Graduate,Self-Employed,669978.02,305095.14,Other,840.0,1,169,82.87,2022-11-30 12:25:06.071502,0
74,46.0,Female,South,Secondary,Self-Employed,594428.89,325338.39,Education,,7,131,75.14,2023-11-06 12:25:06.071504,0
75,35.0,Female,South,Primary,Unemployed,733116.79,334565.83,Home,594.0,8,197,51.57,2016-11-22 12:25:06.071506,0
76,43.0,Female,East,Post-Graduate,Salaried,739462.61,201593.74,Car,341.0,8,142,71.73,2018-06-05 12:25:06.071508,0
77,61.0,Male,West,Post-Graduate,Unemployed,471708.25,521106.99,Business,584.0,1,96,51.82,2023-10-26 12:25:06.071510,0
78,51.0,Male,East,Primary,Unemployed,691002.81,499738.2,Other,686.0,1,26,22.65,2023-05-21 12:25:06.071512,0
79,27.0,Male,West,Post-Graduate,Self-Employed,562120.97,419136.84,Car,437.0,6,111,19.98,2017-10-14 12:25:06.071514,0
80,53.0,Female,South,Graduate,Salaried,,236120.76,Business,486.0,3,198,25.07,2020-11-12 12:25:06.071517,0
81,31.0,Female,North,Graduate,Self-Employed,487678.59,380871.62,Other,730.0,0,123,38.07,2021-02-10 12:25:06.071519,0
82,48.0,Other,East,Post-Graduate,Salaried,287262.06,446755.49,Other,715.0,7,186,84.44,2025-07-18 12:25:06.071521,0
83,65.0,Male,North,Graduate,Unemployed,796018.71,116520.46,Home,725.0,1,168,73.97,2016-09-07 12:25:06.071523,0
84,32.0,Female,East,Graduate,Salaried,3355889.38,2216707.06,Car,,2,51,44.62,2021-09-08 12:25:06.071525,0
85,25.0,Female,South,Post-Graduate,Self-Employed,528901.88,39091.86,Other,325.0,4,123,49.45,2025-03-11 12:25:06.071527,0
86,31.0,Male,East,Secondary,Self-Employed,884104.27,405690.87,Other,670.0,2,5,31.25,2022-01-23 12:25:06.071529,0
87,40.0,Male,South,Primary,Self-Employed,613598.18,517992.35,Business,684.0,6,77,66.35,2025-12-15 12:25:06.071531,0
88,,Female,East,Graduate,Salaried,313755.45,283040.48,Home,355.0,6,160,74.22,2021-12-11 12:25:06.071533,0
89,38.0,Female,South,Secondary,Unemployed,512104.29,277430.34,Education,552.0,1,1,29.11,2025-07-12 12:25:06.071535,0
90,33.0,Female,South,Graduate,Unemployed,926570.84,400149.12,Home,405.0,6,182,13.35,2018-09-14 12:25:06.071537,0
91,62.0,Male,West,Graduate,Salaried,466104.87,577782.28,Education,429.0,5,11,59.91,2024-12-27 12:25:06.071539,0
92,35.0,Female,South,Primary,Self-Employed,655044.26,257839.85,Car,675.0,9,181,55.0,2023-03-07 12:25:06.071542,0
93,64.0,Male,West,Graduate,Unemployed,,182856.72,Car,607.0,8,8,42.17,2022-11-20 12:25:06.071543,0
94,41.0,Male,South,Primary,,717989.7,236433.68,Other,390.0,8,153,61.51,2022-10-09 12:25:06.071546,1
95,43.0,Male,North,Primary,Salaried,1089891.96,67122.9,Car,692.0,1,168,54.05,2016-06-23 12:25:06.071548,1
96,42.0,Female,South,Primary,Self-Employed,364739.35,434663.68,Other,833.0,6,32,30.05,2023-02-23 12:25:06.071550,0
97,62.0,Female,North,Secondary,Unemployed,384707.38,222887.54,Home,409.0,4,28,41.82,2023-01-05 12:25:06.071552,1
98,,Female,North,Post-Graduate,Unemployed,368049.11,268749.13,Car,639.0,5,131,44.25,2024-03-19 12:25:06.071554,0
99,46.0,Male,South,Secondary,Self-Employed,540816.32,436443.17,Home,655.0,0,128,80.42,2017-10-06 12:25:06.071556,0
100,32.0,Female,North,Post-Graduate,Salaried,,243463.45,Home,467.0,6,62,86.87,2024-09-07 12:25:06.071558,0
101,62.0,Male,West,Post-Graduate,Self-Employed,393653.08,413863.56,Car,751.0,5,27,81.44,2026-02-04 12:25:06.071560,0
102,18.0,Female,East,Primary,Salaried,822672.1,144286.72,Home,404.0,3,45,67.53,2023-01-09 12:25:06.071563,0
103,42.0,Male,South,Graduate,Self-Employed,607025.33,443807.91,Car,449.0,0,105,56.8,2021-01-08 12:25:06.071564,0
104,24.0,Male,North,Primary,,378200.66,351285.75,Car,445.0,8,92,65.14,2020-05-25 12:25:06.071568,0
105,26.0,Male,South,Graduate,Salaried,249726.01,286713.15,Car,598.0,3,25,85.13,2020-12-24 12:25:06.071570,0
106,41.0,Male,West,Post-Graduate,Salaried,,319634.02,Education,466.0,1,189,30.0,2021-11-20 12:25:06.071573,0
107,18.0,Female,South,Primary,Salaried,466829.32,106985.81,Home,347.0,7,44,52.81,2025-10-31 12:25:06.071574,0
108,61.0,Female,South,Graduate,Unemployed,566169.76,316200.11,Business,538.0,1,174,65.17,2025-09-13 12:25:06.071577,0
109,25.0,Male,North,Secondary,Self-Employed,869212.6,278749.53,Car,306.0,4,142,64.34,2024-03-03 12:25:06.071579,0
110,41.0,Female,West,Graduate,Unemployed,759817.64,111085.11,Home,763.0,5,136,30.18,2025-10-18 12:25:06.071581,0
111,28.0,Male,East,Primary,Salaried,432211.75,199338.69,Other,752.0,7,176,56.94,2023-10-24 12:25:06.071583,0
112,68.0,Female,East,Secondary,Self-Employed,681733.06,280613.21,Car,670.0,0,142,73.67,2017-03-06 12:25:06.071585,0
113,34.0,Female,North,Graduate,Unemployed,930309.25,208906.17,Car,848.0,0,193,48.01,2020-10-27 12:25:06.071587,0
114,25.0,Female,South,Graduate,Salaried,974783.48,-61817.09,Business,786.0,3,80,73.46,2017-09-01 12:25:06.071589,0
115,,Male,North,Graduate,Salaried,537118.8,461458.13,Education,510.0,4,82,38.79,2018-06-08 12:25:06.071591,0
116,52.0,Female,North,Graduate,Unemployed,791657.69,278686.52,Education,464.0,8,135,85.1,2024-11-29 12:25:06.071593,0
117,50.0,Female,North,Graduate,Unemployed,877991.07,-41092.53,Car,424.0,6,88,52.71,2020-07-18 12:25:06.071595,0
118,22.0,Male,South,Secondary,Unemployed,298585.62,620244.44,Home,636.0,6,177,57.68,2025-07-07 12:25:06.071597,1
119,59.0,Male,West,Post-Graduate,Salaried,497518.58,486208.85,Other,491.0,7,127,12.51,2020-06-27 12:25:06.071600,0
120,56.0,Female,North,Secondary,Unemployed,1044003.75,247652.69,Other,513.0,4,55,23.62,2025-10-02 12:25:06.071602,0
121,58.0,Female,South,Secondary,Salaried,539792.78,173625.38,Home,627.0,4,141,60.63,2016-04-12 12:25:06.071604,0
122,45.0,Female,West,Secondary,Unemployed,14209.73,360478.68,Car,680.0,0,184,43.59,2021-05-23 12:25:06.071606,0
123,24.0,Female,North,Post-Graduate,Salaried,575807.64,330349.02,Other,538.0,8,56,50.65,2022-01-04 12:25:06.071608,0
124,26.0,Female,East,Primary,,824925.1,381313.49,Education,831.0,5,15,15.04,2020-04-12 12:25:06.071610,0
125,25.0,Male,West,Post-Graduate,Self-Employed,601302.09,174056.96,Home,381.0,8,185,76.73,2016-07-30 12:25:06.071612,0
126,29.0,Male,North,Secondary,Unemployed,743072.79,464665.8,Business,662.0,2,58,72.76,2018-03-27 12:25:06.071614,0
127,51.0,Male,West,Graduate,Unemployed,787644.4,228980.68,Car,804.0,4,163,24.83,2020-05-09 12:25:06.071616,0
128,50.0,Female,West,Graduate,Salaried,529012.51,402114.86,Home,501.0,1,88,60.75,2017-10-05 12:25:06.071618,0
129,65.0,Male,West,Secondary,Salaried,496121.4,180459.11,Other,803.0,9,97,75.47,2022-07-30 12:25:06.071620,0
130,40.0,Female,West,Graduate,Salaried,630688.2,697221.6,Car,336.0,4,144,61.27,2022-06-19 12:25:06.071623,0
131,41.0,Female,West,Secondary,Self-Employed,635555.78,404328.5,Education,701.0,7,8,34.83,2019-05-30 12:25:06.071625,0
132,54.0,Female,West,Graduate,,610815.36,732634.84,Car,475.0,1,173,62.49,2017-01-15 12:25:06.071627,0
133,52.0,Male,North,Post-Graduate,Salaried,619031.3,424140.3,Car,844.0,7,40,26.84,2021-04-04 12:25:06.071629,0
134,61.0,Female,East,Primary,Unemployed,450290.77,215780.35,Education,766.0,3,182,35.46,2017-07-14 12:25:06.071631,0
135,57.0,Male,South,Primary,Unemployed,750057.38,424407.12,Education,500.0,9,14,29.21,2016-03-16 12:25:06.071633,0
136,39.0,Female,West,Post-Graduate,Self-Employed,719846.39,435086.67,Car,839.0,9,187,54.55,2018-07-29 12:25:06.071635,0
137,44.0,Male,South,Post-Graduate,Self-Employed,332798.33,355998.62,Education,846.0,0,53,18.66,2019-01-17 12:25:06.071637,0
138,52.0,Male,North,Secondary,Salaried,522167.54,394558.87,Home,693.0,4,127,84.66,2020-11-08 12:25:06.071639,0
139,,Female,West,Secondary,Unemployed,618615.97,414259.07,Education,341.0,0,155,36.68,2021-01-07 12:25:06.071641,0
140,52.0,Male,East,Secondary,Salaried,493137.4,150947.85,Education,692.0,6,175,27.52,2020-04-29 12:25:06.071643,0
141,54.0,Male,South,Graduate,Self-Employed,727474.4,140271.24,Car,740.0,7,80,49.72,2017-07-12 12:25:06.071645,0
142,64.0,Female,West,Secondary,Unemployed,586623.49,180867.45,Home,805.0,2,115,32.16,2020-03-27 12:25:06.071647,0
143,31.0,Female,North,Post-Graduate,Unemployed,633814.51,319131.36,Business,619.0,2,134,52.79,2021-06-04 12:25:06.071650,0
144,20.0,Female,East,Primary,,519858.14,266524.32,Business,514.0,6,55,37.88,2016-03-11 12:25:06.071651,0
145,18.0,Female,South,Graduate,Salaried,201356.24,153664.42,Other,370.0,3,44,20.57,2020-02-03 12:25:06.071654,0
146,22.0,Female,South,Secondary,Salaried,189930.34,416297.13,Education,535.0,2,18,31.27,2023-03-28 12:25:06.071656,0
147,43.0,Male,West,Graduate,,717921.91,342456.72,Education,580.0,7,16,45.08,2019-12-26 12:25:06.071658,0
148,31.0,Male,East,Graduate,Self-Employed,653382.42,325339.35,Home,461.0,2,12,12.42,2019-12-22 12:25:06.071660,0
149,56.0,Male,East,Secondary,Unemployed,687732.44,261301.6,Business,490.0,6,148,71.65,2018-01-24 12:25:06.071662,0
150,44.0,Female,East,Graduate,Self-Employed,626894.57,243265.78,Other,308.0,1,45,59.75,2023-07-02 12:25:06.071665,0
151,26.0,Female,East,Primary,Salaried,642913.48,173800.33,Home,359.0,0,192,58.11,2016-05-25 12:25:06.071667,0
152,32.0,Male,North,Post-Graduate,Self-Employed,793804.67,440061.04,Education,524.0,5,187,53.68,2019-08-12 12:25:06.071669,0
153,32.0,Male,East,Post-Graduate,Salaried,688923.87,194476.07,Business,586.0,7,93,57.23,2020-04-09 12:25:06.071671,0
154,43.0,Female,South,Primary,Self-Employed,808181.87,331408.57,Other,468.0,0,22,84.77,2025-04-25 12:25:06.071673,0
155,59.0,Male,South,Graduate,Unemployed,634292.37,549301.56,Car,361.0,9,97,10.69,2019-06-06 12:25:06.071675,0
156,30.0,Female,North,Secondary,Salaried,539923.65,250161.34,Business,648.0,8,47,13.82,2024-08-28 12:25:06.071677,0
157,68.0,Female,South,Graduate,Unemployed,,444105.32,Other,741.0,2,29,25.32,2020-02-12 12:25:06.071679,0
158,49.0,Female,South,Primary,Unemployed,432764.42,385306.35,Home,313.0,2,45,23.38,2021-01-07 12:25:06.071681,0
159,56.0,Male,East,Graduate,Salaried,524030.61,346720.13,Car,463.0,3,77,24.5,2023-10-13 12:25:06.071683,0
160,66.0,Female,South,Post-Graduate,Salaried,635514.26,364552.27,Other,719.0,0,9,63.76,2018-07-14 12:25:06.071685,0
161,69.0,Female,North,Graduate,Unemployed,632863.67,285764.01,Other,819.0,8,24,46.76,2025-12-10 12:25:06.071687,0
162,49.0,Female,East,Primary,Unemployed,578716.22,305216.4,Education,847.0,2,15,89.34,2025-08-24 12:25:06.071689,0
163,21.0,Female,West,Post-Graduate,Unemployed,322363.06,217782.91,Business,327.0,9,164,28.15,2024-04-20 12:25:06.071691,0
164,47.0,Female,East,Graduate,Unemployed,727281.91,306218.57,Education,745.0,3,13,34.87,2021-08-15 12:25:06.071693,0
165,54.0,Female,North,Graduate,Salaried,766845.68,212216.1,Car,507.0,0,91,88.74,2023-10-25 12:25:06.071695,0
166,40.0,Male,East,Post-Graduate,Salaried,928738.1,450848.26,Other,769.0,3,172,76.54,2019-02-05 12:25:06.071697,0
167,56.0,Female,East,Secondary,Unemployed,688355.2,45075.39,Education,403.0,0,101,47.58,2023-01-11 12:25:06.071699,0
168,62.0,Female,North,Post-Graduate,Self-Employed,600292.37,372157.99,Business,725.0,4,71,54.37,2016-07-14 12:25:06.071701,0
169,32.0,Male,East,Secondary,Self-Employed,397394.1,350488.01,Car,400.0,4,122,77.45,2016-09-22 12:25:06.071703,0
170,60.0,Female,North,Primary,Salaried,898403.57,336902.39,Home,840.0,6,76,48.48,2020-09-19 12:25:06.071705,0
171,46.0,Female,North,Primary,Unemployed,649566.6,453674.84,Education,821.0,7,164,26.48,2016-04-10 12:25:06.071707,0
172,53.0,Female,West,Post-Graduate,Unemployed,638674.63,257081.46,Car,405.0,3,116,76.28,2019-12-23 12:25:06.071709,0
173,30.0,Male,South,Post-Graduate,Salaried,549188.76,338315.08,Home,576.0,6,61,53.02,2024-06-11 12:25:06.071713,1
174,49.0,Male,South,Primary,Self-Employed,536406.09,42518.72,Education,364.0,3,168,22.24,2025-04-03 12:25:06.071716,0
175,,Other,East,Secondary,Self-Employed,737653.35,237702.47,Car,487.0,2,126,50.45,2024-01-20 12:25:06.071718,0
176,68.0,Female,East,Primary,Self-Employed,395711.88,428360.46,Car,616.0,5,155,43.06,2024-05-20 12:25:06.071720,0
177,39.0,Male,West,Post-Graduate,Salaried,925086.37,99125.74,Education,437.0,3,1,80.15,2022-02-07 12:25:06.071722,0
178,45.0,Female,West,Primary,Self-Employed,881505.29,323961.51,Car,,2,162,20.08,2024-07-26 12:25:06.071724,0
179,19.0,Female,West,Post-Graduate,Salaried,529187.69,198372.44,Other,404.0,8,68,80.02,2025-05-01 12:25:06.071726,0
180,59.0,Female,North,Post-Graduate,Salaried,427227.09,283351.95,Education,845.0,4,88,50.98,2018-11-24 12:25:06.071728,0
181,62.0,Female,West,Primary,Unemployed,196958.8,207348.38,Car,679.0,6,21,42.35,2019-03-17 12:25:06.071730,1
182,23.0,Male,West,Secondary,Self-Employed,349717.23,112920.66,Home,409.0,5,161,22.96,2017-04-28 12:25:06.071733,0
183,45.0,Male,East,Graduate,Salaried,745982.3,357900.5,Home,,9,135,66.07,2021-11-19 12:25:06.071734,0
184,45.0,Male,West,Primary,Self-Employed,663068.37,292560.49,Other,653.0,4,193,84.14,2016-08-11 12:25:06.071737,0
185,61.0,Female,North,Graduate,Self-Employed,698730.71,391894.37,Education,616.0,6,3,40.03,2017-03-23 12:25:06.071739,0
186,61.0,Male,North,Primary,Unemployed,230884.07,419165.69,Car,565.0,5,51,29.33,2016-11-02 12:25:06.071741,0
187,37.0,Male,East,Graduate,Self-Employed,520836.88,483788.81,Car,364.0,9,79,54.39,2022-01-28 12:25:06.071743,0
188,47.0,Male,West,Secondary,Unemployed,,320023.01,Home,632.0,1,95,73.69,2019-04-07 12:25:06.071745,0
189,28.0,Female,West,Secondary,Salaried,580794.52,490293.15,Other,812.0,2,182,10.3,2017-04-26 12:25:06.071747,0
190,45.0,Female,North,Primary,Self-Employed,345541.05,153633.82,Home,432.0,1,123,60.51,2024-01-23 12:25:06.071749,0
191,42.0,Male,West,Post-Graduate,,577679.53,436343.97,Home,839.0,2,187,57.72,2024-01-30 12:25:06.071751,1
192,56.0,Male,West,Graduate,Self-Employed,445796.52,368908.56,Other,834.0,0,6,35.45,2017-01-20 12:25:06.071753,0
193,50.0,Female,West,Post-Graduate,Salaried,666735.81,334963.9,Education,795.0,7,157,46.11,2018-04-28 12:25:06.071755,0
194,18.0,Male,South,Post-Graduate,Self-Employed,,366709.84,Car,668.0,5,17,29.76,2025-07-08 12:25:06.071757,0
195,44.0,Male,East,Post-Graduate,Self-Employed,708659.33,155889.17,Education,398.0,1,117,73.19,2025-11-30 12:25:06.071759,0
196,69.0,Male,South,Secondary,Self-Employed,356415.27,120487.98,Business,616.0,7,60,60.76,2022-05-21 12:25:06.071761,0
197,30.0,Male,East,Primary,Self-Employed,510256.69,556474.23,Business,422.0,5,150,52.62,2025-10-20 12:25:06.071764,0
198,58.0,Male,North,Primary,Self-Employed,818086.87,274691.67,Business,619.0,6,152,41.4,2023-11-05 12:25:06.071765,0
199,20.0,Male,West,Secondary,Self-Employed,329143.99,272550.99,Other,794.0,0,125,33.31,2025-02-11 12:25:06.071768,0
200,56.0,Male,East,Secondary,Self-Employed,399377.6,134653.58,Home,756.0,6,81,75.82,2023-05-03 12:25:06.071770,0
201,23.0,Female,South,Primary,Self-Employed,639859.46,77733.25,Education,821.0,2,85,46.11,2017-08-26 12:25:06.071772,0
202,25.0,Male,West,Post-Graduate,Self-Employed,657345.97,286752.17,Car,819.0,7,51,50.12,2019-11-05 12:25:06.071774,0
203,44.0,Female,North,Graduate,Salaried,502230.03,248761.81,Business,614.0,5,178,51.67,2024-03-01 12:25:06.071777,0
204,26.0,Female,East,Graduate,Unemployed,544313.42,300260.15,Education,841.0,3,139,45.87,2023-10-11 12:25:06.071779,0
205,54.0,Male,East,Graduate,Self-Employed,706645.11,313073.09,Business,778.0,7,184,30.49,2023-10-22 12:25:06.071781,0
206,50.0,Female,East,Post-Graduate,Unemployed,769927.0,673419.16,Business,319.0,8,71,19.63,2019-04-23 12:25:06.071783,0
207,68.0,Male,West,Primary,Self-Employed,386155.67,249213.0,Car,429.0,9,170,17.88,2019-08-02 12:25:06.071784,0
208,59.0,Other,South,Secondary,Self-Employed,672863.9,536991.02,Other,592.0,1,39,70.6,2021-08-24 12:25:06.071786,0
209,61.0,Male,South,Primary,Salaried,902403.2,546303.63,Home,431.0,5,69,27.88,2016-04-01 12:25:06.071789,0
210,41.0,Male,East,Post-Graduate,Salaried,576821.59,413043.64,Other,655.0,4,48,14.45,2020-06-14 12:25:06.071791,0
211,32.0,Male,North,Secondary,Unemployed,384032.17,264731.05,Education,353.0,4,125,73.8,2022-07-24 12:25:06.071793,1
212,49.0,Other,North,Post-Graduate,Salaried,374781.62,95779.15,Other,686.0,9,57,22.32,2019-01-08 12:25:06.071795,0
213,49.0,Female,South,Graduate,Salaried,567852.51,371691.58,Education,564.0,2,21,60.01,2025-10-30 12:25:06.071797,0
