customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,join_Year,join_Month,join_Day,join_Weekday,Gender_Encoded,Income_Bin,High_Income_Flag,Income_Quantile_Bin,Income_KMeans_Bin,Income_Log,Income_Reciprocal,Income_Sqrt,Income_YeoJohnson,Debt_to_Income_Ratio,Avg_Monthly_Transactions
27.0,29.0,Female,South,Graduate,Self-Employed,867672.75,274242.37,Home,529.0,5.0,192.0,34.62,2018-05-26 12:25:06.071403,0.0,2018,5,26,5,0,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.67357105893259,1.1525069186430959e-06,931.4895329524643,0.6138849255822172,0.3160665930790151,16.0
28.0,39.0,Male,North,Post-Graduate,Salaried,374069.95,274204.26,Other,570.0,8.0,77.0,18.93,2021-01-10 12:25:06.071406,0.0,2021,1,10,6,1,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,12.832200764287137,2.6732896526715053e-06,611.6125816233672,-0.7022162546604311,0.7330293705762786,6.416666666666667
29.0,61.0,Male,South,Post-Graduate,Salaried,733729.97,239758.84,Education,714.0,6.0,25.0,77.18,2023-05-31 12:25:06.071408,0.0,2023,5,31,2,1,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.505897714524064,1.3628973573243066e-06,856.5803931914388,0.27133001191501854,0.32676713478120567,2.0833333333333335
30.0,42.0,Male,West,Secondary,Unemployed,416398.25,276819.15,Business,497.0,4.0,108.0,89.77,2021-10-06 12:25:06.071411,0.0,2021,10,6,2,1,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,12.93939981456859,2.4015413092122525e-06,645.2892762164888,-0.5821977749993246,0.6647942204368055,9.0
31.0,66.0,Male,North,Secondary,Self-Employed,915607.5,588931.13,Car,622.0,1.0,179.0,33.41,2017-12-25 12:25:06.071413,0.0,2017,12,25,0,1,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.727344150547383,1.0921698520710544e-06,956.8738161325139,0.734541284485715,0.6432135276305623,14.916666666666666
32.0,44.0,Male,East,Post-Graduate,Salaried,379771.94,142826.69,Home,355.0,0.0,135.0,38.62,2019-01-13 12:25:06.071415,0.0,2019,1,13,6,1,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,12.847328826796785,2.633152325176196e-06,616.2563914475858,-0.6859373979885222,0.376085421160921,11.25
33.0,59.0,Male,South,Primary,Salaried,370169.02,177824.37,Car,502.0,1.0,109.0,85.33,2022-05-13 12:25:06.071417,0.0,2022,5,13,4,1,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,12.821717692589917,2.7014613447085747e-06,608.4151707510259,-0.7133740861566252,0.48038695944895654,9.083333333333334
34.0,45.0,Male,North,Post-Graduate,Self-Employed,278037.71,507648.66,Business,437.0,0.0,134.0,66.89,2019-03-17 12:25:06.071420,0.0,2019,3,17,6,1,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,12.535515627583461,3.59662149202174e-06,527.2928123917488,-0.98243026261743,1.825826647759399,11.166666666666666
35.0,33.0,Male,South,Post-Graduate,Unemployed,644156.5455263158,243779.34,Home,721.0,2.0,24.0,33.65,2023-05-04 12:25:06.071423,1.0,2023,5,4,3,1,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.375698611078434,1.5524152545367443e-06,802.593636609658,0.03717278505943743,0.3784473536643444,2.0
36.0,32.0,Female,North,Secondary,Self-Employed,462104.44,232406.81,Business,356.0,5.0,19.0,56.48,2020-08-06 12:25:06.071425,0.0,2020,8,6,3,0,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,13.043548369132713,2.164008283477468e-06,679.7826417318995,-0.45458873850521564,0.5029313503241821,1.5833333333333333
37.0,64.0,Male,North,Secondary,Self-Employed,347670.18,455229.58,Car,370.0,7.0,83.0,85.54,2023-05-28 12:25:06.071427,0.0,2023,5,28,6,1,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,12.759012427013854,2.876280973303568e-06,589.635633251587,-0.7780701778909194,1.3093719455605886,6.916666666666667
38.0,68.0,Female,South,Primary,Salaried,997961.82,86970.66,Education,671.0,2.0,115.0,74.95,2021-05-22 12:25:06.071429,0.0,2021,5,22,5,0,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.813471300090617,1.0020413385741165e-06,998.9803901979258,0.93971399804721,0.08714828388925741,9.583333333333334
39.0,61.0,Male,East,Primary,Salaried,705976.14,423218.16,Car,813.0,9.0,9.0,69.35,2017-10-01 12:25:06.071431,0.0,2017,10,1,6,1,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.467338136347749,1.4164764598468442e-06,840.2238630269911,0.1992498095119169,0.599479410168168,0.75
40.0,69.0,Other,North,Graduate,Unemployed,682446.91,306842.46,Car,383.0,8.0,112.0,68.96,2021-07-16 12:25:06.071433,0.0,2021,7,16,4,2,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.43344148078423,1.4653133013477907e-06,826.1034499383235,0.13781645619899568,0.44962099689190477,9.333333333333334
41.0,20.0,Male,North,Post-Graduate,Salaried,917832.88,369720.32,Car,342.0,9.0,164.0,24.24,2022-03-12 12:25:06.071435,0.0,2022,3,12,5,1,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.729771694621979,1.0895217770780046e-06,958.0359492211135,0.7401199807806219,0.4028187789480804,13.666666666666666
42.0,54.0,Male,North,Secondary,Salaried,651251.56,366904.64,Other,432.0,4.0,102.0,75.97,2019-04-27 12:25:06.071438,0.0,2019,4,27,5,1,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.386652802944099,1.5355026013256668e-06,807.0015861198788,0.05588617216024307,0.5633838942358925,8.5
43.0,68.0,Other,East,Primary,Self-Employed,450263.96,205802.61,Business,694.0,6.0,168.0,32.09,2016-10-02 12:25:06.071440,0.0,2016,10,2,6,2,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,13.017591488471796,2.2209145477365148e-06,671.0171085747368,-0.48746191374951237,0.4570710256268345,14.0
44.0,24.0,Female,East,Graduate,Salaried,1299790.26,1830710.27,Business,364.0,7.0,152.0,84.43,2022-10-14 12:25:06.071442,0.0,2022,10,14,4,0,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,14.077714240308376,7.693543038595289e-07,1140.083444314494,1.6721285755833357,1.408465908953649,12.666666666666666
45.0,38.0,Female,West,Graduate,Unemployed,438988.52,217479.34,Business,589.0,2.0,48.0,39.17,2024-09-20 12:25:06.071444,0.0,2024,9,20,4,0,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,12.992230819335,2.2779587084447937e-06,662.5620876566966,-0.5188840885637229,0.4954100849835435,4.0
46.0,26.0,Male,South,Secondary,Self-Employed,901083.12,361327.35,Other,675.0,1.0,191.0,78.61,2017-10-20 12:25:06.071446,0.0,2017,10,20,4,1,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.711353895162505,1.1097743016489958e-06,949.2539807659487,0.6980818432691482,0.4009922525238293,15.916666666666666
47.0,56.0,Male,East,Secondary,Unemployed,348932.78,485658.67,Education,766.0,1.0,69.0,31.3,2018-10-18 12:25:06.071448,1.0,2018,10,18,3,1,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,12.762637441060907,2.86587328976862e-06,590.7053241676429,-0.7744236479561575,1.391840199135203,5.75
48.0,43.97157894736842,Female,South,Graduate,Self-Employed,670625.45,506835.25,Car,512.0,4.0,181.0,51.16,2024-12-09 12:25:06.071450,0.0,2024,12,9,0,0,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.415967554526924,1.4911430946393481e-06,818.9172424610438,0.10683486678660419,0.7557650101110837,15.083333333333334
49.0,21.0,Female,West,Primary,Salaried,806785.03,259931.05,Education,447.0,0.0,182.0,18.55,2022-12-03 12:25:06.071452,0.0,2022,12,3,5,0,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.6008137695925,1.2394860134105197e-06,898.2121297332831,0.4592038206334536,0.32218130026532593,15.166666666666666
50.0,42.0,Female,South,Graduate,Self-Employed,657068.97,369470.29,Other,770.0,1.0,170.0,62.81,2024-07-01 12:25:06.071454,0.0,2024,7,1,0,0,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.39554579103507,1.5219079331840413e-06,810.5979089536315,0.07120757347720084,0.5623006211965845,14.166666666666666
51.0,31.0,Female,East,Post-Graduate,Self-Employed,679796.67,246076.68,Business,448.0,8.0,119.0,76.89,2022-09-16 12:25:06.071456,0.0,2022,9,16,4,0,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.42955048875961,1.4710259304066163e-06,824.4978289844067,0.13087760290083233,0.3619857096387365,9.916666666666666
52.0,67.0,Male,South,Post-Graduate,Salaried,731120.78,675569.43,Car,387.0,6.0,45.0,67.48,2018-03-07 12:25:06.071458,0.0,2018,3,7,2,1,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.502335318563976,1.36776119567933e-06,855.0560098613423,0.2645708285292048,0.9240189151784197,3.75
53.0,26.0,Female,East,Secondary,Salaried,675856.17,417018.9,Home,623.0,5.0,125.0,51.86,2023-10-31 12:25:06.071460,0.0,2023,10,31,1,0,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.423737045718614,1.4796025615885675e-06,822.1047196069367,0.12055326927659593,0.6170231456198735,10.416666666666666
54.0,43.0,Male,South,Primary,Unemployed,921814.83,312608.77,Home,695.0,8.0,14.0,13.61,2021-07-17 12:25:06.071462,0.0,2021,7,17,5,1,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.734100732043634,1.0848153909441977e-06,960.1118841051807,0.7500972027888184,0.3391231729261722,1.1666666666666667
55.0,19.0,Male,East,Primary,Unemployed,391941.65,346884.33,Education,571.2631578947369,6.0,157.0,84.68,2018-03-26 12:25:06.071465,0.0,2018,3,26,0,1,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,12.878870807049154,2.551393679662063e-06,626.0524339062983,-0.6513122758801497,0.8850407452231729,13.083333333333334
56.0,37.0,Male,East,Post-Graduate,Salaried,648084.98,361065.81,Business,381.0,4.0,134.0,66.44,2019-08-06 12:25:06.071466,1.0,2019,8,6,1,1,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.381778651717696,1.5430051426201197e-06,805.0372537963693,0.04753789415837534,0.5571272613045283,11.166666666666666
57.0,45.0,Female,South,Graduate,Salaried,236351.91,365511.53,Home,585.0,8.0,135.0,69.67,2020-07-27 12:25:06.071469,0.0,2020,7,27,0,0,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,12.37308134839437,4.230961235044662e-06,486.1603747735926,-1.1083077640847703,1.5464716574534982,11.25
58.0,64.0,Male,West,Secondary,Salaried,185250.76,264000.27,Education,681.0,5.0,37.0,73.57,2019-09-16 12:25:06.071470,0.0,2019,9,16,0,1,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,12.129471043787966,5.398059376062068e-06,430.4076672179528,-1.2672093524743597,1.4250968255136984,3.0833333333333335
59.0,24.0,Male,North,Graduate,Self-Employed,583665.79,240850.91,Other,569.0,5.0,53.0,69.82,2025-04-21 12:25:06.071473,0.0,2025,4,21,0,1,"(-53685.535, 1401611.145]",1,"(471604.652, 619045.785]",2,13.27708553390768,1.7133063198610288e-06,763.9802288017669,-0.12364042066978412,0.41265209324671914,4.416666666666667
60.0,61.0,Female,West,Graduate,Self-Employed,708675.91,277222.0,Education,591.0,3.0,18.0,45.29,2018-10-11 12:25:06.071475,0.0,2018,10,11,3,0,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.471155003485869,1.4110802622312047e-06,841.8289077954023,0.20627941196737518,0.391183044446932,1.5
61.0,25.0,Male,South,Graduate,Self-Employed,926133.56,129046.24,Education,752.0,0.0,38.0,68.69,2022-06-25 12:25:06.071477,0.0,2022,6,25,5,1,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.738774816246325,1.0797567040366141e-06,962.3583324313247,0.7609111404702826,0.13933869322260603,3.1666666666666665
62.0,64.0,Female,West,Primary,Salaried,1083958.35,407741.16,Education,323.0,4.0,187.0,60.0,2023-05-02 12:25:06.071479,0.0,2023,5,2,1,0,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.896130960278587,9.225438204855191e-07,1041.1332047341493,1.1513331795839592,0.3761594345391591,15.583333333333334
63.0,52.0,Male,East,Post-Graduate,Unemployed,863972.13,179744.24,Car,610.0,8.0,129.0,78.32,2024-12-20 12:25:06.071481,0.0,2024,12,20,4,1,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.669296947765554,1.1574434033613986e-06,929.5010112958457,0.6045301715761301,0.20804402567939315,10.75
64.0,31.0,Male,North,Primary,Salaried,745433.15,141007.49,Education,760.0,7.0,196.0,74.2,2025-04-12 12:25:06.071483,0.0,2025,4,12,5,1,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.521722079305729,1.3415001177501727e-06,863.3847056787606,0.30160439957042107,0.18916181819925768,16.333333333333332
65.0,34.0,Female,South,Post-Graduate,Self-Employed,631992.97,297846.83,Education,507.0,7.0,44.0,13.31,2017-02-25 12:25:06.071485,0.0,2017,2,25,5,0,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.356635131944238,1.5822935778960043e-06,794.9798550906809,0.005020431226102725,0.4712818720119625,3.6666666666666665
66.0,53.0,Male,South,Secondary,Self-Employed,293754.39,280481.61,Car,737.0,4.0,47.0,40.31,2021-09-25 12:25:06.071487,0.0,2021,9,25,5,1,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,12.590502693208336,3.404192855831513e-06,541.9911346138422,-0.935707514391633,0.954816743334457,3.9166666666666665
67.0,67.0,Male,South,Secondary,Salaried,570792.68,337445.17,Car,837.0,8.0,35.0,12.78,2017-03-19 12:25:06.071490,0.0,2017,3,19,6,1,"(-53685.535, 1401611.145]",1,"(471604.652, 619045.785]",2,13.254783092344125,1.7519465176979534e-06,755.508226295386,-0.15817090540089085,0.5911869262233705,2.9166666666666665
68.0,57.0,Male,North,Graduate,Salaried,858075.35,214769.19,Other,635.0,2.0,60.0,18.17,2016-04-01 12:25:06.071491,0.0,2016,4,1,4,1,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.662448360525065,1.1653974614263639e-06,926.3235665791948,0.5896116423849598,0.2502917605079787,5.0
69.0,21.0,Male,East,Post-Graduate,Self-Employed,779656.37,241118.62,Business,721.0,2.0,90.0,58.11,2022-11-03 12:25:06.071494,0.0,2022,11,3,3,1,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.566609832928014,1.2826146952218255e-06,882.9815230229906,0.3897407377663094,0.30926268196846773,7.5
70.0,19.0,Other,South,Post-Graduate,Self-Employed,342733.17,403817.93,Home,620.0,0.0,52.0,79.91,2020-01-28 12:25:06.071496,1.0,2020,1,28,1,2,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,12.74471041109176,2.917713165279085e-06,585.434172217509,-0.7923474937631778,1.1782283284690536,4.333333333333333
71.0,23.0,Male,West,Post-Graduate,Self-Employed,722805.13,394682.58,Home,796.0,8.0,8.0,19.59,2025-12-28 12:25:06.071498,1.0,2025,12,28,6,1,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.49089631857183,1.383496844444305e-06,850.1794692886908,0.24300527014258436,0.5460428594357098,0.6666666666666666
72.0,59.0,Female,South,Graduate,Salaried,705678.56,388428.76,Education,462.0,5.0,107.0,46.09,2016-12-04 12:25:06.071500,0.0,2016,12,4,6,0,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.466916532420381,1.4170737777922886e-06,840.0467606032416,0.1984747367856794,0.5504329903405312,8.916666666666666
73.0,21.0,Male,South,Graduate,Self-Employed,669978.02,305095.14,Other,840.0,1.0,169.0,82.87,2022-11-30 12:25:06.071502,0.0,2022,11,30,2,1,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.415001677444037,1.49258405136328e-06,818.5218506551918,0.10513579126813502,0.45538081980659606,14.083333333333334
74.0,46.0,Female,South,Secondary,Self-Employed,594428.89,325338.39,Education,571.2631578947369,7.0,131.0,75.14,2023-11-06 12:25:06.071504,0.0,2023,11,6,0,0,"(-53685.535, 1401611.145]",1,"(471604.652, 619045.785]",0,13.29535805712408,1.6822841798887333e-06,770.9921465229072,-0.09485527742377327,0.5473125473427107,10.916666666666666
75.0,35.0,Female,South,Primary,Unemployed,733116.79,334565.83,Home,594.0,8.0,197.0,51.57,2016-11-22 12:25:06.071506,0.0,2016,11,22,1,0,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.50506166372941,1.3640372851953298e-06,856.222395175459,0.2697418676370583,0.45636088896559035,16.416666666666668
76.0,43.0,Female,East,Post-Graduate,Salaried,739462.61,201593.74,Car,341.0,8.0,142.0,71.73,2018-06-05 12:25:06.071508,0.0,2018,6,5,1,0,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.513680350997243,1.3523315907323688e-06,859.9201183830972,0.28616825741471147,0.27262195177116527,11.833333333333334
77.0,61.0,Male,West,Post-Graduate,Unemployed,471708.25,521106.99,Business,584.0,1.0,96.0,51.82,2023-10-26 12:25:06.071510,0.0,2023,10,26,3,1,"(-53685.535, 1401611.145]",1,"(471604.652, 619045.785]",2,13.064118079001641,2.119949947981728e-06,686.8101994000963,-0.42801583023007106,1.1047230783010473,8.0
78.0,51.0,Male,East,Primary,Unemployed,691002.81,499738.2,Other,686.0,1.0,26.0,22.65,2023-05-21 12:25:06.071512,0.0,2023,5,21,6,1,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.445900616482797,1.4471700235632565e-06,831.2657878199968,0.1601906866083785,0.7232071892732245,2.1666666666666665
