Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term_months,Default_Status
CUST100104,61,953622,167674,354,24,Yes
CUST100105,48,1529502,1213650,678,36,No
CUST100106,27,1588977,567257,467,36,No
CUST100107,29,436371,446474,708,12,No
CUST100108,28,802251,1350457,807,24,Yes
CUST100109,32,846275,81629,836,60,Yes
CUST100110,54,1924502,1005083,401,36,No
CUST100111,53,324591,1252606,721,36,No
CUST100112,43,792054,852207,777,60,No
CUST100113,44,730799,739567,419,12,No
CUST100114,57,839104,1077442,590,24,No
CUST100115,55,700981,312199,787,12,Yes
CUST100116,64,973720,823372,460,48,Yes
CUST100117,60,1143681,1187273,377,36,No
CUST100118,42,466909,738233,337,48,No
CUST100119,47,1400002,1200081,693,36,No
CUST100120,55,1534649,1441440,740,48,No
CUST100121,21,1408468,1254966,839,60,No
CUST100122,55,1360152,83734,761,36,Yes
CUST100123,57,1671315,263299,593,36,Yes
CUST100124,34,1843952,723882,699,48,Yes
CUST100125,23,1183667,192728,391,24,Yes
CUST100126,21,1326101,721253,305,48,No
CUST100127,25,213780,852925,570,36,Yes
CUST100128,46,468733,446848,398,36,Yes
CUST100129,34,1080096,670160,825,24,No
CUST100130,59,1163443,1056152,493,12,No
CUST100131,47,1693285,373923,456,24,No
CUST100132,29,304188,743812,414,12,No
CUST100133,35,817614,1481907,695,36,No
CUST100134,35,1027385,1215179,821,60,No
CUST100135,46,790073,702168,513,60,Yes
CUST100136,62,1792173,672696,832,48,Yes
CUST100137,33,1827059,871247,314,24,No
CUST100138,52,1274477,99297,718,24,No
CUST100139,59,1927512,110107,667,60,No
CUST100140,52,1673300,394937,512,12,Yes
CUST100141,24,667927,459898,304,24,No
CUST100142,50,1798328,342552,530,12,No
CUST100143,57,1526980,714197,500,12,No
CUST100144,43,849285,1245055,701,12,Yes
CUST100145,59,497584,1258957,448,12,No
CUST100146,35,1605802,1191766,791,48,No
CUST100147,63,1092015,826644,525,48,No
CUST100148,49,780971,1316560,468,60,Yes
CUST100149,56,586350,574658,451,48,No
CUST100150,33,372502,1474932,523,24,Yes
CUST100151,52,1756570,836918,803,48,Yes
CUST100152,27,1929041,600901,849,24,No
CUST100153,42,1851348,53196,343,24,No
CUST100154,48,974107,1324585,803,12,No
CUST100155,22,1054741,901271,540,60,No
CUST100156,62,1032359,556528,650,12,Yes
CUST100157,26,1455062,620141,322,12,No
CUST100158,48,1112935,737635,342,48,No
CUST100159,48,649777,908811,765,48,Yes
CUST100160,64,341449,1214650,339,24,No
CUST100161,64,777880,617497,602,48,No
CUST100162,40,1386995,1009991,474,48,No
CUST100163,50,495920,806355,831,36,No
CUST100164,31,1121287,1352092,760,24,No
CUST100165,48,1828662,674588,492,24,Yes
CUST100166,45,335370,1475402,543,36,No
CUST100167,59,1056636,107175,579,24,No
CUST100168,53,1072639,1200127,335,60,No
CUST100169,21,648377,855408,839,60,No
CUST100170,47,1047084,442761,453,36,No
CUST100171,33,691830,631154,322,48,No
CUST100172,61,1116004,167752,390,60,No
CUST100173,23,443767,303564,689,36,No
CUST100174,59,1793786,343257,658,60,No
CUST100175,26,627244,1314008,849,12,Yes
CUST100176,28,704677,215486,527,36,No
CUST100177,47,1662108,721502,501,24,No
CUST100178,29,1063428,1080114,649,60,Yes
CUST100179,57,1658760,820488,337,24,Yes
CUST100180,53,1016698,1432212,799,36,Yes
CUST100181,62,718895,1309112,342,60,No
CUST100182,64,1475393,1175269,816,24,No
CUST100183,44,617216,1133711,367,48,No
CUST100184,35,1131515,515448,422,48,No
CUST100185,52,1251442,186262,635,12,No
CUST100186,52,312669,54331,452,36,No
CUST100187,44,992330,1281834,461,24,No
CUST100188,61,480539,1389269,513,12,Yes
CUST100189,32,1942955,262854,675,36,No
CUST100190,59,1220747,600049,742,48,No
CUST100191,22,466150,839694,722,24,No
CUST100192,23,889753,1018763,837,60,No
CUST100193,57,643258,909004,529,48,No
CUST100194,37,689415,830080,358,60,No
CUST100195,22,1147135,234544,395,60,Yes
CUST100196,22,1606396,400002,561,24,No
CUST100197,48,846012,1183243,653,24,No
CUST100198,43,1835765,54677,611,60,No
CUST100199,57,1093659,254580,435,12,No
CUST100200,52,924857,180334,772,60,No
CUST100201,53,688029,413581,729,60,No
CUST100202,21,1890056,1018121,836,24,Yes
CUST100203,39,372646,461811,445,36,Yes
CUST100204,22,1542137,649559,823,48,No
CUST100205,64,550164,608745,386,24,No
CUST100206,46,1594359,616819,408,12,Yes
CUST100207,52,1706798,254335,722,48,No
CUST100208,26,1343457,516516,644,24,No
CUST100209,52,442934,244243,565,24,No
CUST100210,24,332659,307231,793,36,Yes
CUST100211,31,1894552,823589,632,12,No
CUST100212,37,701323,667423,712,12,No
CUST100213,58,839872,640642,490,24,No
CUST100214,44,1958646,687031,441,36,No
CUST100215,25,947108,818741,372,24,Yes
CUST100216,54,1062318,1300844,466,60,Yes
CUST100217,26,1136320,966094,467,60,Yes
CUST100218,42,1989760,145057,558,36,No
CUST100219,31,1015864,1136985,738,24,No
CUST100220,36,1428265,296889,410,36,No
CUST100221,53,1583093,477686,830,24,Yes
CUST100222,29,1413865,199457,589,24,No
CUST100223,26,1531604,373860,809,60,No
CUST100224,36,467598,925584,474,48,Yes
CUST100225,49,1847824,1124958,601,12,No
CUST100226,23,1350997,126675,484,12,Yes
CUST100227,40,1486821,1065100,638,36,No
CUST100228,56,1816482,596707,809,12,No
CUST100229,39,1201452,1060825,609,60,No
CUST100230,46,1295687,131238,806,48,Yes
CUST100231,23,632829,1092536,645,24,No
CUST100232,39,416750,1324401,380,24,Yes
CUST100233,40,320592,324541,673,60,No
CUST100234,52,434000,1418608,455,12,No
CUST100235,27,980277,1133745,731,24,Yes
CUST100236,61,522137,636470,799,12,No
CUST100237,53,1377228,928908,446,60,No
CUST100238,60,1126352,1257989,780,24,No
CUST100239,59,708069,227216,734,36,No
CUST100240,38,1851536,504988,818,48,No
CUST100241,60,1052557,129360,368,12,No
CUST100242,21,1466092,488863,485,12,No
CUST100243,31,579653,173662,503,12,No
CUST100244,48,1310178,1197419,312,12,No
CUST100245,45,403117,847406,573,60,No
CUST100246,43,437069,686438,597,60,Yes
CUST100247,51,766510,524768,350,60,No
CUST100248,50,1489660,275121,799,60,No
CUST100249,62,1490894,975581,668,24,No
CUST100250,55,1838197,872922,656,60,No
CUST100251,27,908092,699001,302,24,No
CUST100252,36,1633370,1154188,553,36,No
CUST100253,46,1297996,674762,774,60,No
CUST100254,22,799792,1396879,805,36,Yes
CUST100255,21,1775326,1051040,555,60,No
CUST100256,32,471604,981310,449,36,No
CUST100257,25,823607,259417,787,48,Yes
CUST100258,57,864635,261463,578,36,Yes
CUST100259,52,868629,943844,358,24,No
CUST100260,29,1902457,318602,745,12,No
CUST100261,61,1371248,347668,412,36,Yes
CUST100262,55,1707734,712213,788,12,No
CUST100263,39,1583640,1401197,706,48,No
CUST100264,36,713953,1392942,666,48,No
CUST100265,23,617582,592608,359,24,No
CUST100266,40,244036,144154,628,24,No
CUST100267,44,1397017,626531,768,36,No
CUST100268,53,342867,460568,362,60,Yes
CUST100269,44,1318597,143476,483,48,No
CUST100270,31,569349,164560,610,12,No
CUST100271,28,1709946,970707,837,60,Yes
CUST100272,56,885503,1399987,476,48,No
CUST100273,58,622641,919241,728,36,Yes
CUST100274,60,537283,599656,372,48,No
CUST100275,40,960592,1391704,466,24,No
CUST100276,55,1778232,1302566,524,12,No
CUST100277,45,1908557,1356057,308,12,Yes
CUST100278,55,783117,50801,535,24,Yes
CUST100279,45,591180,680826,327,60,No
CUST100280,49,1702086,948633,326,24,No
CUST100281,38,1001151,659557,849,12,No
CUST100282,38,1802091,977473,495,36,No
CUST100283,22,833718,348113,502,60,Yes
CUST100284,55,600782,141679,384,48,No
CUST100285,36,212306,731065,329,36,No
CUST100286,61,778110,1389083,765,60,Yes
CUST100287,56,224042,1260368,398,12,No
CUST100288,53,608302,977476,489,12,No
CUST100289,24,872747,662236,311,36,Yes
CUST100290,53,813712,1317764,329,60,No
CUST100291,34,1431266,326999,337,48,No
CUST100292,41,947410,479385,593,48,No
CUST100293,40,349395,1360253,659,24,No
CUST100294,28,1790883,227476,479,36,No
CUST100295,27,1061858,1249217,411,60,Yes
CUST100296,23,1813727,699362,743,36,No
CUST100297,37,1238457,628725,320,48,No
CUST100298,53,835311,206810,444,60,No
CUST100299,32,1914219,974276,798,12,Yes
CUST100300,42,1135783,1188986,445,12,No
CUST100301,42,1557719,1118307,740,60,No
CUST100302,50,262780,715491,720,36,No
CUST100303,58,1009340,902756,615,36,No
CUST100304,58,1965520,235169,465,12,No
CUST100305,28,1636998,315033,502,12,Yes
CUST100306,47,1692017,583857,795,48,No
CUST100307,47,1941888,1305325,767,60,No
CUST100308,54,1349282,1183768,684,36,No
CUST100309,41,1941599,1185730,613,48,No
CUST100310,50,322019,258542,554,36,No
CUST100311,53,571852,1206649,322,12,No
CUST100312,48,1965317,1318470,638,60,Yes
CUST100313,53,379001,569235,792,24,No
CUST100314,25,995775,844044,810,60,No
CUST100315,39,1348836,470547,665,24,Yes
CUST100316,24,1419439,892329,671,48,Yes
CUST100317,55,884494,1243582,518,24,Yes
CUST100318,37,1229870,938976,774,24,No
CUST100319,64,1951037,224588,722,48,No
CUST100320,48,793731,1395349,655,60,Yes
CUST100321,50,954471,174746,759,48,Yes
CUST100322,49,519674,594719,802,12,No
CUST100323,26,1688591,1286381,326,12,No
CUST100324,55,860187,1083290,522,24,Yes
CUST100325,61,296143,481231,447,48,No
CUST100326,57,1966589,805398,723,48,No
CUST100327,44,344771,605673,650,48,No
CUST100328,49,1220332,382343,485,60,No
CUST100329,51,1755289,1399397,714,36,No
CUST100330,55,1208923,1216680,728,36,Yes
CUST100331,53,1100959,1111394,340,36,Yes
CUST100332,41,860673,531438,692,60,No
CUST100333,52,1917534,375145,378,48,No
CUST100334,43,311362,205049,843,36,No
CUST100335,53,1539527,624120,749,48,No
CUST100336,23,1973326,658278,773,24,Yes
CUST100337,38,376298,1308542,441,36,No
CUST100338,45,783838,1170780,550,24,No
CUST100339,62,673288,95784,593,60,No
CUST100340,51,465702,1108497,435,12,No
CUST100341,23,1192812,1354140,783,60,No
CUST100342,60,512257,663794,611,60,No
CUST100343,44,1959814,1172984,345,60,No
CUST100344,52,1153847,1103498,535,36,No
CUST100345,42,1306795,513144,347,24,Yes
CUST100346,43,1939122,1150911,497,36,No
CUST100347,22,1154470,855983,383,12,No
CUST100348,47,889129,1249029,842,60,No
CUST100349,62,975292,949751,460,48,No
CUST100350,22,436495,367817,727,12,No
CUST100351,46,1826082,72948,370,24,No
CUST100352,37,481373,666552,819,12,No
CUST100353,60,1800741,109072,351,36,Yes
CUST100354,53,389073,1428280,344,48,No
CUST100355,29,559281,116691,592,36,No
CUST100356,63,1024516,715442,764,60,No
CUST100357,59,1068212,1444825,849,60,No
CUST100358,49,1210396,57086,679,12,No
CUST100359,62,1396454,439962,777,60,No
CUST100360,46,419707,642141,561,60,No
CUST100361,55,441249,1462645,478,24,No
CUST100362,45,1285610,1430747,656,24,No
CUST100363,44,371389,1376636,718,36,No
CUST100364,33,1660886,851680,500,36,No
CUST100365,27,1961732,992529,312,24,Yes
CUST100366,56,1259165,813210,742,12,No
CUST100367,40,1305797,622668,585,24,No
CUST100368,21,1504503,1415265,557,36,No
CUST100369,28,1609020,1195070,847,48,No
CUST100370,36,841517,165981,789,60,Yes
CUST100371,34,1025963,216305,797,48,No
CUST100372,32,776515,66304,632,48,No
CUST100373,43,465308,1081477,331,60,No
CUST100374,35,293078,1372014,342,24,Yes
CUST100375,48,1027679,338569,650,12,No
CUST100376,54,959401,774071,633,48,No
CUST100377,22,774887,1073657,569,12,No
CUST100378,52,664761,1209353,712,36,No
CUST100379,43,1758244,1060815,318,48,No
CUST100380,42,1126921,452641,646,36,No
CUST100381,45,1438227,667752,336,24,Yes
CUST100382,42,1749317,1012494,391,48,Yes
CUST100383,42,268207,852523,484,36,No
CUST100384,62,534199,1352750,327,36,Yes
CUST100385,26,1088698,705362,847,24,No
CUST100386,35,1588990,1352466,671,12,Yes
CUST100387,63,311426,624699,829,12,No
CUST100388,57,1759657,484174,644,48,Yes
CUST100389,53,334794,1357477,718,24,No
CUST100390,28,1606352,145696,495,48,No
CUST100391,64,1943967,726067,377,12,No
CUST100392,64,1983171,720608,466,24,No
CUST100393,25,745726,1019224,389,60,No
CUST100394,59,783107,720397,563,24,No
CUST100395,24,243856,117421,771,24,No
CUST100396,26,1675368,286436,507,60,No
CUST100397,52,642244,1401332,570,36,No
CUST100398,50,1308383,531247,562,36,No
CUST100399,55,1036309,1108067,805,36,No
CUST100400,60,690999,167026,811,12,No
CUST100401,36,1292037,124804,823,24,No
CUST100402,33,817762,929725,611,60,Yes
CUST100403,62,545280,812803,473,12,No
CUST100404,50,1531155,864746,730,60,Yes
CUST100405,39,1988053,537335,762,12,No
CUST100406,37,607407,1083061,400,12,No
CUST100407,39,1071158,1447806,315,12,No
CUST100408,48,1503306,770989,557,60,Yes
CUST100409,46,1495308,1462011,543,48,Yes
CUST100410,57,620602,1340799,647,12,Yes
CUST100411,46,1935657,584255,548,36,No
CUST100412,43,1827650,1311402,404,24,No
CUST100413,29,475848,1403940,586,48,No
CUST100414,32,256635,1416851,468,48,No
CUST100415,21,1119627,531930,719,60,No
CUST100416,21,1601430,78876,346,48,No
CUST100417,54,965197,937880,342,60,Yes
CUST100418,52,445984,1030043,620,60,Yes
CUST100419,45,1573713,279192,520,36,No
CUST100420,60,1361328,1409948,812,12,No
CUST100421,21,1459770,1353343,740,48,No
CUST100422,36,428584,302313,443,12,No
CUST100423,59,1667208,1126837,327,12,No
CUST100424,25,332886,1205177,466,12,No
CUST100425,42,1327113,1159836,548,60,Yes
CUST100426,49,1036690,1052297,656,12,No
CUST100427,23,1920444,1495138,410,48,No
CUST100428,32,285166,1063847,533,60,Yes
CUST100429,46,1982852,364444,323,48,No
CUST100430,36,575854,192412,325,60,No
CUST100431,57,1546419,869444,680,24,No
CUST100432,42,508479,948760,645,24,No
CUST100433,49,1064285,418781,677,24,No
CUST100434,34,1967704,722636,821,24,No
CUST100435,48,497883,1415359,316,60,No
CUST100436,25,759073,434083,544,12,No
CUST100437,50,363052,581598,838,36,No
CUST100438,25,956079,1463664,501,36,No
CUST100439,32,1736494,528096,547,24,Yes
CUST100440,36,1643401,1220589,417,12,No
CUST100441,46,266253,231693,308,48,No
CUST100442,46,678697,716252,322,12,No
CUST100443,41,815416,783946,539,48,No
CUST100444,59,361081,1003646,326,36,No
CUST100445,56,1114013,488895,380,12,No
CUST100446,53,835254,222687,498,12,No
CUST100447,50,1386430,1277201,391,36,No
CUST100448,57,823640,1207840,383,12,No
CUST100449,43,619149,653359,599,48,No
CUST100450,30,1912243,746362,595,12,Yes
CUST100451,25,947567,1483331,753,48,No
CUST100452,56,832585,1169234,580,24,No
CUST100453,54,1979810,317531,358,12,No
CUST100454,51,762634,1488291,641,48,No
CUST100455,30,1360714,704669,764,36,No
CUST100456,39,512916,1073439,641,24,No
CUST100457,52,240149,352138,361,12,No
CUST100458,21,548844,284484,728,48,No
CUST100459,25,1931462,1477632,555,12,No
CUST100460,24,1083190,476941,646,48,No
CUST100461,36,1727504,705920,825,12,No
CUST100462,44,328447,436354,603,24,No
CUST100463,36,661693,892997,544,24,No
CUST100464,22,1254271,1362032,711,12,Yes
CUST100465,48,1812033,985709,516,12,No
CUST100466,52,1034379,438026,815,60,No
CUST100467,47,1426872,137566,773,12,No
CUST100468,40,1032297,333473,335,12,No
CUST100469,44,880913,1333326,477,24,Yes
CUST100470,32,1615221,1206813,686,12,No
CUST100471,55,1571130,1475196,316,36,No
CUST100472,53,1614474,1396365,347,12,No
CUST100473,53,553039,1186078,361,60,No
CUST100474,63,1142320,536598,368,48,No
CUST100475,57,1958962,399454,665,24,No
CUST100476,32,1561425,906051,461,36,Yes
CUST100477,23,392994,583037,787,48,No
CUST100478,21,1626420,634933,730,36,No
CUST100479,53,1060346,263933,788,24,No
CUST100480,60,1250457,1151751,529,60,No
CUST100481,30,509509,1051720,669,24,Yes
CUST100482,63,1769720,1030213,477,36,No
CUST100483,64,1327787,198395,709,36,No
CUST100484,49,1187626,100762,569,24,Yes
CUST100485,33,1404654,638510,505,12,No
CUST100486,32,1551918,477709,381,24,No
CUST100487,51,1140335,1287976,492,60,No
CUST100488,22,1674235,305539,488,24,No
CUST100489,55,1159820,1110789,575,48,Yes
CUST100490,43,1475779,671655,373,12,No
CUST100491,37,919846,1075336,309,48,No
CUST100492,46,1909813,1257361,515,24,No
CUST100493,28,1288129,1131159,589,12,No
CUST100494,49,1755929,703080,744,48,No
CUST100495,46,1646714,129944,492,48,Yes
CUST100496,30,1109210,1120945,588,12,No
CUST100497,46,860046,1118086,443,12,No
CUST100498,54,232766,1090444,688,36,No
CUST100499,61,755710,62120,706,12,No
CUST100500,27,1103022,674135,669,24,Yes
CUST100501,24,474349,672863,740,60,Yes
CUST100502,31,679806,1489989,828,36,Yes
CUST100503,49,1403175,1366015,312,12,No
CUST100504,56,1660235,594748,639,60,No
CUST100505,45,1658316,589251,611,36,No
CUST100506,41,1627197,601616,403,24,Yes
CUST100507,56,1276778,921061,638,60,No
CUST100508,30,639358,174034,497,12,No
CUST100509,57,1048124,1274461,599,12,No
CUST100510,29,937744,1276019,743,24,No
CUST100511,44,220855,682529,658,36,No
CUST100512,55,676963,884030,667,60,No
CUST100513,55,1964308,241848,468,24,Yes
CUST100514,56,1011527,304289,448,36,Yes
CUST100515,38,1156228,877401,341,48,Yes
CUST100516,59,511385,219446,501,48,No
CUST100517,52,827407,112784,543,36,Yes
CUST100518,44,1824867,1017386,763,12,No
CUST100519,43,1710171,983432,748,12,No
CUST100520,52,1343413,1119850,736,48,No
CUST100521,57,423068,870848,830,12,No
CUST100522,32,556427,267220,572,12,No
CUST100523,33,1133476,766358,729,36,No
CUST100524,43,323805,412578,512,36,No
CUST100525,45,1009359,293768,403,12,No
CUST100526,55,315657,1085108,491,36,No
CUST100527,61,1053062,917190,679,60,No
CUST100528,50,304428,193435,380,48,Yes
CUST100529,37,322035,528365,848,60,No
CUST100530,40,1694139,1012067,676,60,Yes
CUST100531,45,1479356,867060,453,12,No
CUST100532,42,1112676,1088457,539,12,No
CUST100533,33,1990146,1168248,673,60,Yes
CUST100534,39,269518,978665,503,60,Yes
CUST100535,56,376355,544209,649,24,Yes
CUST100536,32,867565,663398,442,24,No
CUST100537,61,320243,314954,488,48,No
CUST100538,39,1207378,1306847,571,60,No
CUST100539,32,1138601,645976,831,36,Yes
CUST100540,29,596308,901980,599,24,No
CUST100541,27,1301887,323306,725,12,No
CUST100542,48,222692,647823,345,60,Yes
CUST100543,34,1897818,450435,394,36,No
CUST100544,51,879222,645152,363,36,No
CUST100545,39,592179,1216947,712,36,Yes
CUST100546,36,421468,749793,308,12,No
CUST100547,25,1590227,563214,758,24,Yes
CUST100548,55,280152,831704,708,36,No
CUST100549,32,663685,1164764,769,24,No
CUST100550,45,1777790,1284599,805,48,No
CUST100551,41,1208803,812476,372,12,No
CUST100552,56,203969,610846,383,24,No
CUST100553,43,1284309,178938,358,24,Yes
CUST100554,36,531999,1245307,320,36,No
CUST100555,59,241743,846867,757,36,No
CUST100556,62,1903057,824560,456,12,No
CUST100557,59,370948,662082,628,24,No
CUST100558,34,1093877,930255,502,60,Yes
CUST100559,51,220323,905656,405,36,No
CUST100560,25,1771869,516441,421,36,No
CUST100561,55,1527148,575667,617,48,No
CUST100562,43,758866,1463267,481,12,No
CUST100563,49,1859350,534716,615,24,Yes
CUST100564,63,701793,688922,705,24,No
CUST100565,31,526284,827867,369,24,No
CUST100566,38,1880189,1418465,459,36,No
CUST100567,32,468508,1019309,539,12,No
CUST100568,29,591011,455732,822,24,No
CUST100569,30,1677141,784782,437,60,No
CUST100570,64,1904627,266915,794,48,No
CUST100571,37,982259,1254491,546,48,No
CUST100572,58,1868462,1235560,842,24,No
CUST100573,27,1970403,268431,823,36,No
CUST100574,33,376968,996301,542,48,No
CUST100575,60,257062,711809,635,48,Yes
CUST100576,62,1476914,182797,721,48,Yes
CUST100577,29,935122,917838,493,48,No
CUST100578,47,869221,1107880,607,24,No
CUST100579,22,1476485,1040562,805,12,No
CUST100580,25,706995,175555,580,12,No
CUST100581,49,288302,1431040,738,36,No
CUST100582,57,1836792,518224,782,60,No
CUST100583,58,1233224,1083424,522,12,No
CUST100584,39,938591,1193064,416,60,No
CUST100585,28,765635,1357066,491,12,No
CUST100586,21,727409,1436311,815,12,No
CUST100587,42,283793,1455764,829,36,No
CUST100588,37,1801028,835890,606,48,No
CUST100589,27,487635,1480024,831,36,Yes
CUST100590,45,783510,972229,421,12,No
CUST100591,24,878525,790957,453,48,No
CUST100592,56,728036,556289,836,48,Yes
CUST100593,26,1799417,662495,751,48,No
CUST100594,51,1365123,248017,468,60,No
CUST100595,39,784668,1114941,358,12,No
CUST100596,64,244331,902224,600,24,No
CUST100597,59,951393,770217,849,36,Yes
CUST100598,47,1214348,821769,416,60,No
CUST100599,30,1893481,721064,426,36,No
CUST100600,46,1025992,210974,704,24,Yes
CUST100601,39,1164190,956073,698,48,Yes
CUST100602,59,800198,282366,814,24,No
CUST100603,23,597891,1492987,797,36,Yes
CUST100604,33,1184210,300319,827,24,No
CUST100605,48,700201,889949,697,12,No
CUST100606,40,1750813,84012,564,24,No
CUST100607,48,1241566,716775,562,12,No
CUST100608,28,1244863,557730,697,24,No
CUST100609,61,931576,82161,826,12,Yes
CUST100610,59,1258644,504529,735,12,No
CUST100611,21,1827324,297066,659,24,No
CUST100612,23,1087198,813977,428,60,No
CUST100613,33,1819282,1363122,540,48,No
CUST100614,48,1536926,1161766,521,48,No
CUST100615,45,1901044,1344832,513,48,Yes
CUST100616,53,1270913,1020055,434,12,No
CUST100617,58,1400314,1373995,685,48,No
CUST100618,26,447667,589203,602,12,No
CUST100619,64,856521,1361629,586,60,Yes
CUST100620,52,1232321,950542,488,24,Yes
CUST100621,41,714241,1164484,596,24,Yes
CUST100622,36,1087099,1225913,825,12,No
CUST100623,41,1600791,84112,688,12,No
CUST100624,31,1346640,779411,758,60,No
CUST100625,57,1156255,1101007,560,48,No
CUST100626,56,1617231,1185166,412,60,Yes
CUST100627,55,1731181,898607,335,24,No
CUST100628,39,607974,344768,378,24,No
CUST100629,40,1707572,1305769,574,48,No
CUST100630,38,727466,111264,577,24,No
CUST100631,61,756119,950198,611,12,No
CUST100632,34,333248,737318,828,24,No
CUST100633,35,1351882,412355,503,36,Yes
CUST100634,51,364726,693790,316,48,No
CUST100635,21,1144131,493148,775,48,Yes
CUST100636,23,907910,1328971,810,48,No
CUST100637,36,574169,1404945,509,36,Yes
CUST100638,43,900270,706763,798,60,No
CUST100639,31,290417,1050850,701,12,No
CUST100640,32,913611,1304039,728,48,No
CUST100641,30,628638,1268284,377,24,No
CUST100642,52,1260560,847271,379,12,Yes
CUST100643,36,1337888,1033050,605,24,No
CUST100644,28,392458,1277477,357,12,No
CUST100645,58,1331867,1238878,829,12,No
CUST100646,32,993567,544523,507,24,No
CUST100647,44,724608,275864,810,24,No
CUST100648,48,1220462,672207,434,12,No
CUST100649,28,1735963,1400683,821,48,Yes
